Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,6.3,6.3,0,0,0,0
aten::copy_,,,42.65,42.65,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.64,1.64,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.35,1.35,0,0,0,0
aten::to,,,2.07,131.52,0,0,0,0
aten::_to_copy,,,7.02,129.45,0,0,0,0
aten::empty_strided,,,10.45,16.06,0,0,0,0
empty_tensor,,,5.61,5.61,0,0,0,0
aten::copy_,,,106.37,106.37,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.66,1.66,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.23,1.23,0,0,0,0
aten::to,,,2.28,71.57,0,0,0,0
aten::_to_copy,,,6.73,69.29,0,0,0,0
aten::empty_strided,,,10.79,16.61,0,0,0,0
empty_tensor,,,5.82,5.82,0,0,0,0
aten::copy_,,,45.95,45.95,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.47,1.47,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.93,0.93,0,0,0,0
aten::to,,,2.64,167.96,0,0,0,0
aten::_to_copy,,,6.73,165.32,0,0,0,0
aten::empty_strided,,,10.85,16.82,0,0,0,0
empty_tensor,,,5.97,5.97,0,0,0,0
aten::copy_,,,141.77,141.77,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.37,1.37,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.05,1.05,0,0,0,0
aten::to,,,2.63,68.0,0,0,0,0
aten::_to_copy,,,6.63,65.37,0,0,0,0
aten::empty_strided,,,10.03,15.98,0,0,0,0
empty_tensor,,,5.95,5.95,0,0,0,0
aten::copy_,,,42.76,42.76,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.23,1.23,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.12,1.12,0,0,0,0
aten::to,,,2.5,169.85,0,0,0,0
aten::_to_copy,,,6.75,167.35,0,0,0,0
aten::empty_strided,,,10.5,16.63,0,0,0,0
empty_tensor,,,6.13,6.13,0,0,0,0
aten::copy_,,,143.97,143.97,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.46,1.46,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.09,1.09,0,0,0,0
aten::to,,,2.56,67.46,0,0,0,0
aten::_to_copy,,,6.4,64.9,0,0,0,0
aten::empty_strided,,,10.99,17.28,0,0,0,0
empty_tensor,,,6.29,6.29,0,0,0,0
aten::copy_,,,41.22,41.22,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.43,1.43,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.0,1.0,0,0,0,0
aten::to,,,2.45,70.0,0,0,0,0
aten::_to_copy,,,6.5,67.55,0,0,0,0
aten::empty_strided,,,10.22,15.92,0,0,0,0
empty_tensor,,,5.7,5.7,0,0,0,0
aten::copy_,,,45.13,45.13,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.48,1.48,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.91,0.91,0,0,0,0
aten::to,,,2.2,66.05,0,0,0,0
aten::_to_copy,,,6.39,63.85,0,0,0,0
aten::empty_strided,,,10.18,15.68,0,0,0,0
empty_tensor,,,5.5,5.5,0,0,0,0
aten::copy_,,,41.78,41.78,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.31,1.31,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.29,1.29,0,0,0,0
aten::to,,,3.24,773.82,0,0,0,0
aten::_to_copy,,,7.54,770.58,0,0,0,0
aten::empty_strided,,,10.25,15.67,0,0,0,0
empty_tensor,,,5.42,5.42,0,0,0,0
aten::copy_,,,747.37,747.37,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,40.65,40.65,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,4.54,4.54,0,0,0,0
aten::to,,,2.51,106.63,0,0,0,0
aten::_to_copy,,,8.45,104.12,0,0,0,0
aten::empty_strided,,,18.38,42.22,0,0,0,0
empty_tensor,,,23.84,23.84,0,0,0,0
aten::copy_,,,53.45,53.45,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.58,1.58,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.58,1.58,0,0,0,0
aten::to,,,3.32,738.43,0,0,0,0
aten::_to_copy,,,17.04,735.11,0,0,0,0
aten::empty_strided,,,18.7,60.25,0,0,0,0
empty_tensor,,,41.55,41.55,0,0,0,0
aten::copy_,,,657.82,657.82,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.73,1.73,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,3.89,3.89,0,0,0,0
aten::to,,,2.85,78.15,0,0,0,0
aten::_to_copy,,,7.16,75.3,0,0,0,0
aten::empty_strided,,,10.73,20.23,0,0,0,0
empty_tensor,,,9.5,9.5,0,0,0,0
aten::copy_,,,47.91,47.91,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.49,1.49,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.93,0.93,0,0,0,0
aten::to,,,3.19,70.09,0,0,0,0
aten::_to_copy,,,6.71,66.9,0,0,0,0
aten::empty_strided,,,10.67,16.76,0,0,0,0
empty_tensor,,,6.09,6.09,0,0,0,0
aten::copy_,,,43.43,43.43,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.66,1.66,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.95,0.95,0,0,0,0
aten::to,,,2.76,66.26,0,0,0,0
aten::_to_copy,,,6.19,63.5,0,0,0,0
aten::empty_strided,,,10.04,15.62,0,0,0,0
empty_tensor,,,5.58,5.58,0,0,0,0
aten::copy_,,,41.69,41.69,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.59,1.59,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.21,1.21,0,0,0,0
aten::to,,,3.08,175.04,0,0,0,0
aten::_to_copy,,,6.34,171.96,0,0,0,0
aten::empty_strided,,,10.04,15.48,0,0,0,0
empty_tensor,,,5.44,5.44,0,0,0,0
aten::copy_,,,150.14,150.14,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.42,1.42,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.33,1.33,0,0,0,0
aten::to,,,2.47,67.43,0,0,0,0
aten::_to_copy,,,6.32,64.96,0,0,0,0
aten::empty_strided,,,9.58,14.97,0,0,0,0
empty_tensor,,,5.39,5.39,0,0,0,0
aten::copy_,,,43.67,43.67,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.58,1.58,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.92,0.92,0,0,0,0
aten::to,,,2.45,96.21,0,0,0,0
aten::_to_copy,,,6.25,93.76,0,0,0,0
aten::empty_strided,,,9.8,15.53,0,0,0,0
empty_tensor,,,5.73,5.73,0,0,0,0
aten::copy_,,,71.98,71.98,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.52,1.52,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.92,0.92,0,0,0,0
aten::to,,,2.52,71.58,0,0,0,0
aten::_to_copy,,,6.27,69.06,0,0,0,0
aten::empty_strided,,,9.77,15.15,0,0,0,0
empty_tensor,,,5.38,5.38,0,0,0,0
aten::copy_,,,47.64,47.64,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.57,1.57,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.99,0.99,0,0,0,0
aten::to,,,2.57,149.51,0,0,0,0
aten::_to_copy,,,6.82,146.94,0,0,0,0
aten::empty_strided,,,10.1,15.69,0,0,0,0
empty_tensor,,,5.59,5.59,0,0,0,0
aten::copy_,,,124.43,124.43,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.61,1.61,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.38,1.38,0,0,0,0
aten::to,,,2.55,63.66,0,0,0,0
aten::_to_copy,,,6.37,61.11,0,0,0,0
aten::empty_strided,,,10.61,16.81,0,0,0,0
empty_tensor,,,6.2,6.2,0,0,0,0
aten::copy_,,,37.93,37.93,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.61,1.61,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.82,0.82,0,0,0,0
aten::to,,,3.02,143.78,0,0,0,0
aten::_to_copy,,,5.58,140.76,0,0,0,0
aten::empty_strided,,,9.84,15.8,0,0,0,0
empty_tensor,,,5.96,5.96,0,0,0,0
aten::copy_,,,119.38,119.38,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.62,1.62,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.48,1.48,0,0,0,0
aten::to,,,2.51,64.8,0,0,0,0
aten::_to_copy,,,6.25,62.29,0,0,0,0
aten::empty_strided,,,9.99,15.31,0,0,0,0
empty_tensor,,,5.32,5.32,0,0,0,0
aten::copy_,,,40.73,40.73,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.65,1.65,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.46,1.46,0,0,0,0
aten::to,,,2.42,66.14,0,0,0,0
aten::_to_copy,,,6.51,63.72,0,0,0,0
aten::empty_strided,,,9.8,15.38,0,0,0,0
empty_tensor,,,5.58,5.58,0,0,0,0
aten::copy_,,,41.83,41.83,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.29,1.29,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.15,1.15,0,0,0,0
aten::to,,,2.29,60.88,0,0,0,0
aten::_to_copy,,,5.88,58.59,0,0,0,0
aten::empty_strided,,,9.45,14.6,0,0,0,0
empty_tensor,,,5.15,5.15,0,0,0,0
aten::copy_,,,38.11,38.11,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.02,2.02,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.18,1.18,0,0,0,0
aten::to,,,2.33,777.1,0,0,0,0
aten::_to_copy,,,6.85,774.77,0,0,0,0
aten::empty_strided,,,10.06,15.81,0,0,0,0
empty_tensor,,,5.75,5.75,0,0,0,0
aten::copy_,,,752.11,752.11,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.7,1.7,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.2,1.2,0,0,0,0
aten::to,,,2.68,78.51,0,0,0,0
aten::_to_copy,,,7.54,75.83,0,0,0,0
aten::empty_strided,,,11.49,17.63,0,0,0,0
empty_tensor,,,6.14,6.14,0,0,0,0
aten::copy_,,,50.66,50.66,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.44,2.44,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.35,1.35,0,0,0,0
aten::to,,,3.01,723.11,0,0,0,0
aten::_to_copy,,,7.05,720.1,0,0,0,0
aten::empty_strided,,,11.1,16.9,0,0,0,0
