Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,4494,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999160482.362	,8.160,74.880000,24,0,NO,"""900,256;256,256;256""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,256""",FLOAT,ND,N/A,6.344,274078,1.407,0.222,5.392,0.85,0.954,0.15,2.174,0.343,0.325,0.051,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.750
0,4294967295,4495,2,aclnnRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1753145999160528.263	,2.860,37.840000,48,0,NO,"""1,900,256""",FLOAT,NCL,"""1,900,256""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.394,120459,0.064,0.046,0.744,0.534,0.297,0.213,0.259,0.186,0.0,0.000
0,4294967295,4496,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999160597.544	,6.200,66.390000,19,0,NO,"""900,256;4,256;4""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,4""",FLOAT,ND,N/A,3.898,133296,0.217,0.056,3.614,0.927,0.293,0.075,0.619,0.159,0.15,0.039,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.767
0,4294967295,4497,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160661.085	,2.500,57.300000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.688,12151,0.18,0.106,1.095,0.649,0.387,0.229,0.142,0.084,0.001,0.000
0,4294967295,4498,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160685.426	,2.240,22.000000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,11071,0.18,0.117,1.006,0.654,0.337,0.219,0.142,0.092,0.0,0.000
0,4294967295,4499,2,aclnnRsubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1753145999160720.126	,1.720,32.510000,4,0,NO,""";1,900,4""",FLOAT;FLOAT,ND;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005,7234,0.04,0.04,0.528,0.526,0.294,0.293,0.132,0.131,0.0,0.000
0,4294967295,4500,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160744.387	,2.480,22.530000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.673,12049,0.18,0.107,1.099,0.657,0.365,0.218,0.147,0.088,0.0,0.000
0,4294967295,4501,2,aclnnDiv_RealDivAiCore_RealDiv,RealDiv,dynamic,AI_VECTOR_CORE,1753145999160778.448	,1.380,31.520000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,5387,0.043,0.057,0.294,0.393,0.244,0.327,0.148,0.198,0.0,0.000
0,4294967295,4502,2,aclnnLog_LogAiCore_Log,Log,dynamic,AI_VECTOR_CORE,1753145999160801.428	,1.300,21.620000,4,0,NO,"""1,900,4""",FLOAT,NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,4532,0.043,0.069,0.303,0.481,0.122,0.193,0.134,0.213,0.0,0.000
0,4294967295,4503,2,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1753145999160847.449	,1.460,44.700000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743,5350,0.031,0.042,0.304,0.409,0.242,0.325,0.137,0.184,0.0,0.000
