Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2262,70.421,1753145998202593.913	,1753145998202664.334	
0,aclnnMuls_SliceAiCore_Slice,AI_VECTOR_CORE,2,2263,10.221,1753145998202664.374	,1753145998202674.595	
0,aclnnMuls_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2264,19.22,1753145998202674.615	,1753145998202693.835	
0,aclnnMuls_MulAiCore_Mul,AI_VECTOR_CORE,2,2265,8.36,1753145998202699.175	,1753145998202707.535	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2266,7.82,1753145998202747.716	,1753145998202755.536	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2267,31.901,1753145998202783.917	,1753145998202815.818	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2268,13.14,1753145998202823.298	,1753145998202836.438	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2269,36.081,1753145998202836.458	,1753145998202872.539	
0,aclnnIndex_IndexAiCore_Index,AI_VECTOR_CORE,2,2270,26.98,1753145998202872.559	,1753145998202899.539	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2271,12.401,1753145998202909.639	,1753145998202922.040	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2272,26.481,1753145998202947.220	,1753145998202973.701	
0,aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,AI_VECTOR_CORE,2,2273,80.941,1753145998202983.221	,1753145998203064.162	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2274,9.781,1753145998203064.182	,1753145998203073.963	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2275,19.68,1753145998203073.983	,1753145998203093.663	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2276,12.48,1753145998203093.683	,1753145998203106.163	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2277,52.541,1753145998203106.183	,1753145998203158.724	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2278,21.721,1753145998203158.744	,1753145998203180.465	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2279,30.961,1753145998203197.705	,1753145998203228.666	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2280,13.1,1753145998203228.686	,1753145998203241.786	
0,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,2,2281,6.78,1753145998203268.227	,1753145998203275.007	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2282,10.621,1753145998203304.747	,1753145998203315.368	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2283,33.281,1753145998203351.548	,1753145998203384.829	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2284,63.801,1753145998203398.349	,1753145998203462.150	
0,aclnnGelu_Gelu_Gelu,AI_VECTOR_CORE,2,2285,21.561,1753145998203462.170	,1753145998203483.731	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2286,64.961,1753145998203483.751	,1753145998203548.712	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2287,10.7,1753145998203548.732	,1753145998203559.432	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2288,30.301,1753145998203566.772	,1753145998203597.073	
0,aclnnConstantPadNd_PadV3AiCore_MemSet,AI_VECTOR_CORE,2,2289,8.92,1753145998203602.973	,1753145998203611.893	
0,aclnnConstantPadNd_PadV3AiCore_PadV3,MIX_AIV,2,2290,26.36,1753145998203636.994	,1753145998203663.354	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2291,9.4,1753145998203673.595	,1753145998203682.995	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2292,7.72,1753145998203696.615	,1753145998203704.335	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2293,9.081,1753145998203711.015	,1753145998203720.096	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2294,12.6,1753145998203735.296	,1753145998203747.896	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2295,8.12,1753145998203747.936	,1753145998203756.056	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2296,16.361,1753145998203760.196	,1753145998203776.557	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2297,12.621,1753145998203806.637	,1753145998203819.258	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2298,70.902,1753145998203866.578	,1753145998203937.480	
0,aclnnMuls_SliceAiCore_Slice,AI_VECTOR_CORE,2,2299,10.04,1753145998203937.520	,1753145998203947.560	
0,aclnnMuls_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2300,19.72,1753145998203947.580	,1753145998203967.300	
0,aclnnMuls_MulAiCore_Mul,AI_VECTOR_CORE,2,2301,8.541,1753145998203967.340	,1753145998203975.881	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2302,7.96,1753145998204022.282	,1753145998204030.242	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2303,32.861,1753145998204039.842	,1753145998204072.703	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2304,14.04,1753145998204077.243	,1753145998204091.283	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2305,36.241,1753145998204091.323	,1753145998204127.564	
0,aclnnIndex_IndexAiCore_Index,AI_VECTOR_CORE,2,2306,25.46,1753145998204139.024	,1753145998204164.484	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2307,12.78,1753145998204176.365	,1753145998204189.145	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2308,26.901,1753145998204213.025	,1753145998204239.926	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2309,22.141,1753145998204255.946	,1753145998204278.087	
0,aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,AI_VECTOR_CORE,2,2310,80.322,1753145998204292.607	,1753145998204372.929	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2311,10.22,1753145998204372.949	,1753145998204383.169	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2312,18.42,1753145998204383.189	,1753145998204401.609	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2313,12.281,1753145998204404.869	,1753145998204417.150	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2314,51.56,1753145998204417.170	,1753145998204468.730	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2315,20.861,1753145998204468.770	,1753145998204489.631	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2316,30.261,1753145998204511.771	,1753145998204542.032	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2317,12.28,1753145998204549.152	,1753145998204561.432	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2318,10.12,1753145998204586.573	,1753145998204596.693	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2319,7.881,1753145998204608.713	,1753145998204616.594	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2320,9.7,1753145998204622.794	,1753145998204632.494	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2321,16.44,1753145998204647.894	,1753145998204664.334	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2322,7.321,1753145998204664.354	,1753145998204671.675	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2323,12.84,1753145998204674.215	,1753145998204687.055	
0,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,2,2324,7.16,1753145998204722.976	,1753145998204730.136	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2325,11.22,1753145998204781.797	,1753145998204793.017	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2326,32.52,1753145998204817.478	,1753145998204849.998	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2327,65.562,1753145998204866.038	,1753145998204931.600	
0,aclnnGelu_Gelu_Gelu,AI_VECTOR_CORE,2,2328,21.52,1753145998204931.620	,1753145998204953.140	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2329,63.642,1753145998204960.240	,1753145998205023.882	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2330,10.82,1753145998205029.022	,1753145998205039.842	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2331,29.901,1753145998205054.562	,1753145998205084.463	
0,aclnnConstantPadNd_PadV3AiCore_MemSet,AI_VECTOR_CORE,2,2332,11.38,1753145998205128.424	,1753145998205139.804	
0,aclnnConstantPadNd_PadV3AiCore_PadV3,MIX_AIV,2,2333,27.821,1753145998205144.024	,1753145998205171.845	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2334,13.12,1753145998205181.085	,1753145998205194.205	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2335,70.402,1753145998205255.686	,1753145998205326.088	
0,aclnnMuls_SliceAiCore_Slice,AI_VECTOR_CORE,2,2336,10.441,1753145998205412.109	,1753145998205422.550	
0,aclnnMuls_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2337,19.5,1753145998205426.230	,1753145998205445.730	
0,aclnnMuls_MulAiCore_Mul,AI_VECTOR_CORE,2,2338,8.24,1753145998205460.290	,1753145998205468.530	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2339,7.82,1753145998205546.012	,1753145998205553.832	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2340,33.601,1753145998205569.492	,1753145998205603.093	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2341,12.9,1753145998205617.254	,1753145998205630.154	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2342,36.641,1753145998205642.554	,1753145998205679.195	
0,aclnnIndex_IndexAiCore_Index,AI_VECTOR_CORE,2,2343,25.04,1753145998205689.555	,1753145998205714.595	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2344,13.3,1753145998205737.916	,1753145998205751.216	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2345,26.321,1753145998205796.797	,1753145998205823.118	
0,aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,AI_VECTOR_CORE,2,2346,81.341,1753145998205823.158	,1753145998205904.499	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2347,10.12,1753145998205904.519	,1753145998205914.639	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2348,20.06,1753145998205926.040	,1753145998205946.100	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2349,23.161,1753145998205962.580	,1753145998205985.741	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2350,51.981,1753145998205985.781	,1753145998206037.762	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2351,25.38,1753145998206037.782	,1753145998206063.162	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2352,31.52,1753145998206083.843	,1753145998206115.363	
